42440326,highway,traffic_signals,regular
42440456,highway,traffic_signals,regular
42440527,highway,traffic_signals,regular
42440743,highway,traffic_signals,regular
42440820,highway,traffic_signals,regular
42440916,highway,traffic_signals,regular
42441000,highway,traffic_signals,regular
42441295,highway,traffic_signals,regular
42441569,highway,traffic_signals,regular
42441907,highway,traffic_signals,regular
42441950,highway,traffic_signals,regular
42442276,highway,traffic_signals,regular
42442415,highway,traffic_signals,regular
42442480,highway,traffic_signals,regular
42442557,highway,traffic_signals,regular
42442621,highway,traffic_signals,regular
42442664,highway,traffic_signals,regular
42442728,highway,traffic_signals,regular
42442770,highway,traffic_signals,regular
42442850,highway,traffic_signals,regular
42442898,highway,traffic_signals,regular
42442939,highway,traffic_signals,regular
42442961,highway,traffic_signals,regular
42443032,highway,traffic_signals,regular
42443056,highway,traffic_signals,regular
42443088,highway,traffic_signals,regular
42443329,highway,traffic_signals,regular
42443366,highway,traffic_signals,regular
42443556,highway,traffic_signals,regular
42443613,highway,traffic_signals,regular
42443818,highway,traffic_signals,regular
42444081,highway,traffic_signals,regular
42444230,highway,traffic_signals,regular
42444479,highway,traffic_signals,regular
42444810,highway,traffic_signals,regular
42444835,highway,traffic_signals,regular
42444909,highway,traffic_signals,regular
42445011,highway,traffic_signals,regular
42445225,highway,traffic_signals,regular
42445263,highway,traffic_signals,regular
42445392,highway,traffic_signals,regular
42445474,highway,traffic_signals,regular
42445534,highway,traffic_signals,regular
42445634,highway,traffic_signals,regular
42445664,highway,traffic_signals,regular
42445731,highway,traffic_signals,regular
42445910,highway,traffic_signals,regular
42445941,highway,traffic_signals,regular
42446021,highway,traffic_signals,regular
42446099,highway,traffic_signals,regular
42446353,highway,traffic_signals,regular
42446488,highway,traffic_signals,regular
42446571,highway,traffic_signals,regular
42446701,highway,traffic_signals,regular
42446941,highway,traffic_signals,regular
42446994,highway,traffic_signals,regular
42447084,highway,traffic_signals,regular
42447174,highway,traffic_signals,regular
42447249,highway,traffic_signals,regular
42447308,highway,traffic_signals,regular
42447404,highway,traffic_signals,regular
42448552,highway,traffic_signals,regular
42448693,highway,traffic_signals,regular
42448813,highway,traffic_signals,regular
42448930,highway,traffic_signals,regular
42449021,highway,traffic_signals,regular
42449098,highway,traffic_signals,regular
42449308,highway,traffic_signals,regular
42449644,highway,traffic_signals,regular
42449893,highway,traffic_signals,regular
42449954,highway,traffic_signals,regular
42450015,highway,traffic_signals,regular
42450057,highway,traffic_signals,regular
42451695,highway,traffic_signals,regular
42452006,highway,traffic_signals,regular
42452107,highway,traffic_signals,regular
42452330,highway,traffic_signals,regular
42452610,highway,traffic_signals,regular
42452951,highway,traffic_signals,regular
42453007,highway,traffic_signals,regular
42453187,highway,traffic_signals,regular
42453310,highway,traffic_signals,regular
42453417,highway,traffic_signals,regular
42453601,highway,traffic_signals,regular
42453757,highway,traffic_signals,regular
42453902,highway,traffic_signals,regular
42454196,highway,traffic_signals,regular
42454368,highway,traffic_signals,regular
42454495,highway,traffic_signals,regular
42454611,highway,traffic_signals,regular
42455007,highway,traffic_signals,regular
42455412,highway,traffic_signals,regular
42455662,highway,traffic_signals,regular
42455867,highway,traffic_signals,regular
42456041,highway,traffic_signals,regular
42456115,highway,traffic_signals,regular
42456611,highway,traffic_signals,regular
42458728,highway,traffic_signals,regular
42460243,highway,traffic_signals,regular
42460243,traffic_signals,signal,regular
42460593,highway,traffic_signals,regular
42461063,highway,traffic_signals,regular
42461914,ref,2,regular
42461914,exit_to,4th Avenue; Fort Hamilton Parkway,regular
